Precio_real,Precio_predicho,Error_absoluto
234000,231558.2,2441.796875
188000,189590.25,1590.25
298000,215400.72,82599.28125
209000,150256.81,58743.1875
209000,195549.75,13450.25
637000,510631.7,126368.3125
463000,259554.83,203445.171875
117000,151878.34,34878.34375
368000,254508.66,113491.34375
259000,227339.67,31660.328125
218000,197166.44,20833.5625
301000,210357.67,90642.328125
282000,203665.88,78334.125
347000,241313.23,105686.765625
80000,126657.26,46657.2578125
881000,668155.94,212844.0625
1173000,885733.9,287266.125
389000,278209.94,110790.0625
312000,258354.39,53645.609375
167000,187820.56,20820.5625
233000,216571.44,16428.5625
252000,306432.4,54432.40625
187000,196713.75,9713.75
176000,144651.89,31348.109375
176000,146390.81,29609.1875
1015000,766223.5,248776.5
95000,131476.94,36476.9375
561000,436424.1,124575.90625
592000,474453.0,117547.0
152000,171035.5,19035.5
353000,246696.89,106303.109375
290000,184014.72,105985.28125
75000,132853.23,57853.234375
157000,136755.16,20244.84375
361000,340455.62,20544.375
133000,155404.25,22404.25
153000,191796.83,38796.828125
107000,121555.93,14555.9296875
88000,137621.33,49621.328125
65000,129907.2,64907.203125
184000,188338.31,4338.3125
137000,149881.66,12881.65625
174000,184912.94,10912.9375
125000,158130.56,33130.5625
116000,143063.31,27063.3125
504000,368739.8,135260.1875
184000,189326.56,5326.5625
226000,142794.97,83205.03125
184000,215344.1,31344.09375
454000,456118.0,2118.0
132000,132681.78,681.78125
787000,609460.6,177539.375
398000,262131.22,135868.78125
230000,216600.39,13399.609375
131000,167059.44,36059.4375
132000,139155.28,7155.28125
176000,161177.11,14822.890625
139000,154676.77,15676.765625
170000,175279.7,5279.703125
329000,339350.47,10350.46875
111000,157398.5,46398.5
760000,403505.56,356494.4375
390000,241409.69,148590.3125
750000,678846.75,71153.25
257000,206119.95,50880.046875
173000,179163.8,6163.796875
548000,504303.8,43696.1875
162000,158912.27,3087.734375
700000,410253.5,289746.5
722000,508526.06,213473.9375
159000,198755.02,39755.015625
607000,299029.12,307970.875
275000,230938.86,44061.140625
694000,571305.9,122694.125
279000,206542.56,72457.4375
252000,260452.62,8452.625
206000,194619.25,11380.75
361000,293750.25,67249.75
567000,418980.62,148019.375
289000,283404.2,5595.8125
1058000,615839.1,442160.875
382000,275757.5,106242.5
676000,422516.94,253483.0625
126000,136598.53,10598.53125
129000,155129.81,26129.8125
362000,249590.92,112409.078125
114000,161573.16,47573.15625
66000,137041.19,71041.1875
364000,237644.4,126355.59375
96000,202332.16,106332.15625
295000,324209.5,29209.5
439000,357793.25,81206.75
193000,142013.75,50986.25
140000,161596.69,21596.6875
319000,191867.66,127132.34375
312000,193157.94,118842.0625
391000,205985.12,185014.875
156000,183262.8,27262.796875
532000,387554.3,144445.6875
172000,229510.77,57510.765625
136000,173801.47,37801.46875
964000,325978.5,638021.5
153000,158839.0,5839.0
249000,261528.66,12528.65625
488000,487951.34,48.65625
159000,186517.47,27517.46875
151000,166082.38,15082.375
458000,216662.9,241337.09375
962000,770056.06,191943.9375
203000,184330.6,18669.40625
